0.0 466033.0 314191.0 690955.0 487680.0 557097.0
0.0 0.0 776442.0 228177.0 491678.0 584305.0
0.0 0.0 0.0 999908.0 798460.0 645467.0
0.0 0.0 0.0 0.0 525123.0 814642.0
0.0 0.0 0.0 0.0 0.0 968915.0
0.0 0.0 0.0 0.0 0.0 0.0
 lyon paris marseille lille strasbourg bordeaux
lyon 0.0 466033.0 314191.0 690955.0 487680.0 557097.0
paris 0.0 0.0 776442.0 228177.0 491678.0 584305.0
marseille 0.0 0.0 0.0 999908.0 798460.0 645467.0
lille 0.0 0.0 0.0 0.0 525123.0 814642.0
strasbourg 0.0 0.0 0.0 0.0 0.0 968915.0
bordeaux 0.0 0.0 0.0 0.0 0.0 0.0
;lyon;paris;marseille;lille;strasbourg;bordeaux
lyon;0.0;466033.0;314191.0;690955.0;487680.0;557097.0
paris;0.0;0.0;776442.0;228177.0;491678.0;584305.0
marseille;0.0;0.0;0.0;999908.0;798460.0;645467.0
lille;0.0;0.0;0.0;0.0;525123.0;814642.0
strasbourg;0.0;0.0;0.0;0.0;0.0;968915.0
bordeaux;0.0;0.0;0.0;0.0;0.0;0.0
;lyon;paris;marseille;lille;strasbourg;bordeaux
lyon;0.0;466033.0;314191.0;690955.0;487680.0;557097.0
paris;0.0;0.0;776442.0;228177.0;491678.0;584305.0
marseille;0.0;0.0;0.0;999908.0;798460.0;645467.0
lille;0.0;0.0;0.0;0.0;525123.0;814642.0
strasbourg;0.0;0.0;0.0;0.0;0.0;968915.0
bordeaux;0.0;0.0;0.0;0.0;0.0;0.0
